,epoch,train_loss,valid_loss,valid_acc,layers,optimizer,lr,timestamp,source_file
34,35,0.1601600991010666,0.17694092217683793,0.9481,6,SGD,0.01,20250922_182502,comparison_layers6_optSGD_lr0.01_20250922_182502.pkl
35,36,0.1552393863618374,0.1735003731250763,0.9488,6,SGD,0.01,20250922_182502,comparison_layers6_optSGD_lr0.01_20250922_182502.pkl
36,37,0.1505463897526264,0.17004491211175918,0.9493,6,SGD,0.01,20250922_182502,comparison_layers6_optSGD_lr0.01_20250922_182502.pkl
37,38,0.1460820088148117,0.16677753383517266,0.9504,6,SGD,0.01,20250922_182502,comparison_layers6_optSGD_lr0.01_20250922_182502.pkl
38,39,0.14181129161715508,0.16372757723927497,0.9515,6,SGD,0.01,20250922_182502,comparison_layers6_optSGD_lr0.01_20250922_182502.pkl
39,40,0.13772734142541884,0.1607871223449707,0.9522,6,SGD,0.01,20250922_182502,comparison_layers6_optSGD_lr0.01_20250922_182502.pkl
40,41,0.1338152537226677,0.15815251305103303,0.9525,6,SGD,0.01,20250922_182502,comparison_layers6_optSGD_lr0.01_20250922_182502.pkl
41,42,0.13006867183446885,0.15563514403104783,0.9531,6,SGD,0.01,20250922_182502,comparison_layers6_optSGD_lr0.01_20250922_182502.pkl
42,43,0.12649762032032014,0.15337985339462756,0.9538,6,SGD,0.01,20250922_182502,comparison_layers6_optSGD_lr0.01_20250922_182502.pkl
43,44,0.12306085802316666,0.15121414198279381,0.9544,6,SGD,0.01,20250922_182502,comparison_layers6_optSGD_lr0.01_20250922_182502.pkl
44,45,0.11974067091941834,0.1490883229494095,0.9557,6,SGD,0.01,20250922_182502,comparison_layers6_optSGD_lr0.01_20250922_182502.pkl
45,46,0.11656877646446229,0.1471383624613285,0.9562,6,SGD,0.01,20250922_182502,comparison_layers6_optSGD_lr0.01_20250922_182502.pkl
46,47,0.11351953676939011,0.14524339771270753,0.9569,6,SGD,0.01,20250922_182502,comparison_layers6_optSGD_lr0.01_20250922_182502.pkl
47,48,0.11055931904315948,0.14346894831061363,0.9573,6,SGD,0.01,20250922_182502,comparison_layers6_optSGD_lr0.01_20250922_182502.pkl
48,49,0.10771492499709129,0.14178744062185286,0.9577,6,SGD,0.01,20250922_182502,comparison_layers6_optSGD_lr0.01_20250922_182502.pkl
49,50,0.1049313753604889,0.14018830259144305,0.9586,6,SGD,0.01,20250922_182502,comparison_layers6_optSGD_lr0.01_20250922_182502.pkl
50,1,2.311770809173584,2.284501326751709,0.1028,5,SGD,0.01,20250922_182000,comparison_layers5_optSGD_lr0.01_20250922_182000.pkl
51,2,2.2261742744445803,2.1220153884887694,0.2531,5,SGD,0.01,20250922_182000,comparison_layers5_optSGD_lr0.01_20250922_182000.pkl
52,3,1.9595038240432738,1.8142204801559447,0.3277,5,SGD,0.01,20250922_182000,comparison_layers5_optSGD_lr0.01_20250922_182000.pkl
53,4,1.7166313758850098,1.6149121910095214,0.4239,5,SGD,0.01,20250922_182000,comparison_layers5_optSGD_lr0.01_20250922_182000.pkl
54,5,1.5088633586883544,1.3606210376739503,0.561,5,SGD,0.01,20250922_182000,comparison_layers5_optSGD_lr0.01_20250922_182000.pkl
55,6,1.1911437564849854,0.986277681350708,0.7199,5,SGD,0.01,20250922_182000,comparison_layers5_optSGD_lr0.01_20250922_182000.pkl
56,7,0.8762132091522217,0.7345048810005188,0.7928,5,SGD,0.01,20250922_182000,comparison_layers5_optSGD_lr0.01_20250922_182000.pkl
57,8,0.6845104994773865,0.5979950012683869,0.8262,5,SGD,0.01,20250922_182000,comparison_layers5_optSGD_lr0.01_20250922_182000.pkl
58,9,0.5758246050834656,0.5230416305541992,0.8466,5,SGD,0.01,20250922_182000,comparison_layers5_optSGD_lr0.01_20250922_182000.pkl
59,10,0.5112631175994873,0.4749991020202637,0.8617,5,SGD,0.01,20250922_182000,comparison_layers5_optSGD_lr0.01_20250922_182000.pkl
60,11,0.4679522951602936,0.44018648109436037,0.8716,5,SGD,0.01,20250922_182000,comparison_layers5_optSGD_lr0.01_20250922_182000.pkl
61,12,0.43544586853981015,0.4131001611948013,0.8787,5,SGD,0.01,20250922_182000,comparison_layers5_optSGD_lr0.01_20250922_182000.pkl
62,13,0.40863759989738463,0.3903007113933563,0.8838,5,SGD,0.01,20250922_182000,comparison_layers5_optSGD_lr0.01_20250922_182000.pkl
63,14,0.38484329137802126,0.37016036932468416,0.8896,5,SGD,0.01,20250922_182000,comparison_layers5_optSGD_lr0.01_20250922_182000.pkl
64,15,0.36315313637256624,0.3521687956094742,0.8944,5,SGD,0.01,20250922_182000,comparison_layers5_optSGD_lr0.01_20250922_182000.pkl
65,16,0.34312644839286804,0.33597080569267274,0.8987,5,SGD,0.01,20250922_182000,comparison_layers5_optSGD_lr0.01_20250922_182000.pkl
66,17,0.32452617180347443,0.32107858958244323,0.9026,5,SGD,0.01,20250922_182000,comparison_layers5_optSGD_lr0.01_20250922_182000.pkl
67,18,0.30731926803588866,0.3074140323638916,0.9071,5,SGD,0.01,20250922_182000,comparison_layers5_optSGD_lr0.01_20250922_182000.pkl
68,19,0.29143570778369904,0.29423062715530396,0.9119,5,SGD,0.01,20250922_182000,comparison_layers5_optSGD_lr0.01_20250922_182000.pkl
69,20,0.2767812597870827,0.28267144932746885,0.915,5,SGD,0.01,20250922_182000,comparison_layers5_optSGD_lr0.01_20250922_182000.pkl
70,21,0.26343498232364654,0.2723398790717125,0.9184,5,SGD,0.01,20250922_182000,comparison_layers5_optSGD_lr0.01_20250922_182000.pkl
71,22,0.25136764714717863,0.2629071238517761,0.9217,5,SGD,0.01,20250922_182000,comparison_layers5_optSGD_lr0.01_20250922_182000.pkl
72,23,0.2403506442308426,0.2542204741001129,0.9245,5,SGD,0.01,20250922_182000,comparison_layers5_optSGD_lr0.01_20250922_182000.pkl
73,24,0.23021482496261597,0.2465583131790161,0.9264,5,SGD,0.01,20250922_182000,comparison_layers5_optSGD_lr0.01_20250922_182000.pkl
