,epoch,train_loss,valid_loss,valid_acc,hidden_dim,layers,optimizer,lr,timestamp,source_file
0,1,1.9632972236633301,1.924219503211975,0.2296,4,1,Adam,0.1,20250922_055403,history_hid4_layers1_optAdam_lr0.1_20250922_055403.pkl
1,2,1.8537160835266113,1.8180397344589234,0.2619,4,1,Adam,0.1,20250922_055403,history_hid4_layers1_optAdam_lr0.1_20250922_055403.pkl
2,3,1.8231653347015382,1.8272564025878906,0.2529,4,1,Adam,0.1,20250922_055403,history_hid4_layers1_optAdam_lr0.1_20250922_055403.pkl
3,4,1.7906044826507568,1.7576863483428955,0.2988,4,1,Adam,0.1,20250922_055403,history_hid4_layers1_optAdam_lr0.1_20250922_055403.pkl
4,5,1.7587734535217285,1.7455561008453369,0.3052,4,1,Adam,0.1,20250922_055403,history_hid4_layers1_optAdam_lr0.1_20250922_055403.pkl
5,6,1.7542965816497802,1.747378624343872,0.3091,4,1,Adam,0.1,20250922_055403,history_hid4_layers1_optAdam_lr0.1_20250922_055403.pkl
6,7,1.7455563690185547,1.752413408279419,0.3086,4,1,Adam,0.1,20250922_055403,history_hid4_layers1_optAdam_lr0.1_20250922_055403.pkl
7,8,1.7440882217407228,1.7527536903381347,0.3098,4,1,Adam,0.1,20250922_055403,history_hid4_layers1_optAdam_lr0.1_20250922_055403.pkl
8,9,1.7449158237457276,1.7554992090225219,0.309,4,1,Adam,0.1,20250922_055403,history_hid4_layers1_optAdam_lr0.1_20250922_055403.pkl
9,10,1.7427089166641236,1.7580965303421021,0.3082,4,1,Adam,0.1,20250922_055403,history_hid4_layers1_optAdam_lr0.1_20250922_055403.pkl
10,11,1.7434548645019532,1.7585369773864745,0.3087,4,1,Adam,0.1,20250922_055403,history_hid4_layers1_optAdam_lr0.1_20250922_055403.pkl
11,12,1.7424714418411256,1.7620509384155274,0.3063,4,1,Adam,0.1,20250922_055403,history_hid4_layers1_optAdam_lr0.1_20250922_055403.pkl
12,13,1.742735150527954,1.76113791847229,0.3078,4,1,Adam,0.1,20250922_055403,history_hid4_layers1_optAdam_lr0.1_20250922_055403.pkl
