,epoch,train_loss,valid_loss,valid_acc,layers,optimizer,lr,timestamp,source_file
35,36,0.14761957337260245,0.17332785525918007,0.9479,3,SGD,0.01,20250922_172944,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172944.pkl
36,37,0.14296916363835335,0.16975435353517532,0.9487,3,SGD,0.01,20250922_172944,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172944.pkl
37,38,0.13859013657569885,0.16638961723446846,0.9499,3,SGD,0.01,20250922_172944,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172944.pkl
38,39,0.13448006130456924,0.16323075988292693,0.9505,3,SGD,0.01,20250922_172944,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172944.pkl
39,40,0.130575549775362,0.16029540531039238,0.9519,3,SGD,0.01,20250922_172944,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172944.pkl
40,41,0.12687741560935975,0.1575911870956421,0.9526,3,SGD,0.01,20250922_172944,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172944.pkl
41,42,0.12333656547665596,0.15514023609757424,0.9528,3,SGD,0.01,20250922_172944,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172944.pkl
42,43,0.1199604644715786,0.15278557379841803,0.9539,3,SGD,0.01,20250922_172944,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172944.pkl
43,44,0.11675455058813095,0.15047939456105233,0.9543,3,SGD,0.01,20250922_172944,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172944.pkl
44,45,0.11368605630993843,0.14832342454195022,0.9548,3,SGD,0.01,20250922_172944,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172944.pkl
45,46,0.110728657117486,0.14632509999871254,0.9555,3,SGD,0.01,20250922_172944,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172944.pkl
46,47,0.10788858247101307,0.1445017950385809,0.9562,3,SGD,0.01,20250922_172944,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172944.pkl
47,48,0.1051464150428772,0.14275836788117885,0.9564,3,SGD,0.01,20250922_172944,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172944.pkl
48,49,0.10249222813844681,0.14110331094563008,0.9568,3,SGD,0.01,20250922_172944,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172944.pkl
49,50,0.09991107479035854,0.13958357293605805,0.9575,3,SGD,0.01,20250922_172944,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172944.pkl
50,1,2.327981693267822,2.316177619934082,0.0974,4,SGD,0.01,20250922_173217,comparison_hidNone_layers4_optSGD_lr0.01_20250922_173217.pkl
51,2,2.3102692153930664,2.3047075344085695,0.101,4,SGD,0.01,20250922_173217,comparison_hidNone_layers4_optSGD_lr0.01_20250922_173217.pkl
52,3,2.3001594787597655,2.29437569770813,0.0999,4,SGD,0.01,20250922_173217,comparison_hidNone_layers4_optSGD_lr0.01_20250922_173217.pkl
53,4,2.2880044452667234,2.2780187469482422,0.1081,4,SGD,0.01,20250922_173217,comparison_hidNone_layers4_optSGD_lr0.01_20250922_173217.pkl
54,5,2.2634191596984863,2.23888659362793,0.0987,4,SGD,0.01,20250922_173217,comparison_hidNone_layers4_optSGD_lr0.01_20250922_173217.pkl
55,6,2.2040782135009764,2.1569548915863037,0.1152,4,SGD,0.01,20250922_173217,comparison_hidNone_layers4_optSGD_lr0.01_20250922_173217.pkl
56,7,2.121446802520752,2.0774811424255373,0.163,4,SGD,0.01,20250922_173217,comparison_hidNone_layers4_optSGD_lr0.01_20250922_173217.pkl
57,8,2.054168556022644,2.0189630043029787,0.1902,4,SGD,0.01,20250922_173217,comparison_hidNone_layers4_optSGD_lr0.01_20250922_173217.pkl
58,9,2.0035406593322755,1.9726093452453612,0.2041,4,SGD,0.01,20250922_173217,comparison_hidNone_layers4_optSGD_lr0.01_20250922_173217.pkl
59,10,1.9609400207519532,1.9313947034835814,0.2164,4,SGD,0.01,20250922_173217,comparison_hidNone_layers4_optSGD_lr0.01_20250922_173217.pkl
60,11,1.9207599411010743,1.8918455009460449,0.2289,4,SGD,0.01,20250922_173217,comparison_hidNone_layers4_optSGD_lr0.01_20250922_173217.pkl
61,12,1.881153542327881,1.8519678318023682,0.2436,4,SGD,0.01,20250922_173217,comparison_hidNone_layers4_optSGD_lr0.01_20250922_173217.pkl
62,13,1.841108437538147,1.8116642679214479,0.2607,4,SGD,0.01,20250922_173217,comparison_hidNone_layers4_optSGD_lr0.01_20250922_173217.pkl
63,14,1.8004920391082764,1.7709870252609252,0.2812,4,SGD,0.01,20250922_173217,comparison_hidNone_layers4_optSGD_lr0.01_20250922_173217.pkl
64,15,1.7606267196655274,1.7322326726913453,0.3028,4,SGD,0.01,20250922_173217,comparison_hidNone_layers4_optSGD_lr0.01_20250922_173217.pkl
65,16,1.7227957908630371,1.696380200767517,0.3168,4,SGD,0.01,20250922_173217,comparison_hidNone_layers4_optSGD_lr0.01_20250922_173217.pkl
66,17,1.687997678756714,1.6636279684066773,0.3354,4,SGD,0.01,20250922_173217,comparison_hidNone_layers4_optSGD_lr0.01_20250922_173217.pkl
